"cbsa10","cbsaname10","intptlon","intptlat","pop10","afact"
"CBSA (2010)","2010 CBSA name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Population (2010)","_us_ to cbsa10 allocation factor"
"12460","Bainbridge, GA Micropolitan Statistical Area",-84.570361,30.888346,27842,0.00009 
"12540","Bakersfield-Delano, CA Metropolitan Statistical Area",-118.936207,35.372968,839631,0.002719 
"12580","Baltimore-Towson, MD Metropolitan Statistical Area",-76.62769,39.298383,2710489,0.008779 
"12620","Bangor, ME Metropolitan Statistical Area",-68.793837,44.953036,153923,0.000499 
"12660","Baraboo, WI Micropolitan Statistical Area",-89.869622,43.446515,61976,0.000201 
"12700","Barnstable Town, MA Metropolitan Statistical Area",-70.333834,41.690217,215888,0.000699 
"12740","Barre, VT Micropolitan Statistical Area",-72.583886,44.241925,59534,0.000193 
"12780","Bartlesville, OK Micropolitan Statistical Area",-95.938605,36.729169,50976,0.000165 
"12820","Bastrop, LA Micropolitan Statistical Area",-91.88615,32.786393,27979,0.000091 
"12860","Batavia, NY Micropolitan Statistical Area",-78.173087,42.999625,60079,0.000195 
"12900","Batesville, AR Micropolitan Statistical Area",-91.607538,35.749802,36647,0.000119 
"12940","Baton Rouge, LA Metropolitan Statistical Area",-91.058822,30.45684,802484,0.002599 
"12980","Battle Creek, MI Metropolitan Statistical Area",-85.10189,42.289509,136146,0.000441 
"13020","Bay City, MI Metropolitan Statistical Area",-83.928441,43.630575,107771,0.000349 
"13060","Bay City, TX Micropolitan Statistical Area",-96.00282,28.915316,36702,0.000119 
"13100","Beatrice, NE Micropolitan Statistical Area",-96.714125,40.274483,22311,0.000072 
"13140","Beaumont-Port Arthur, TX Metropolitan Statistical Area",-94.053411,30.076777,388745,0.001259 
"13180","Beaver Dam, WI Micropolitan Statistical Area",-88.712369,43.434231,88759,0.000287 
"13220","Beckley, WV Micropolitan Statistical Area",-81.203024,37.770284,78859,0.000255 
"13260","Bedford, IN Micropolitan Statistical Area",-86.495731,38.846386,46134,0.000149 
"13300","Beeville, TX Micropolitan Statistical Area",-97.736928,28.396656,31861,0.000103 
"13340","Bellefontaine, OH Micropolitan Statistical Area",-83.779502,40.383677,45858,0.000149 
"13380","Bellingham, WA Metropolitan Statistical Area",-122.485377,48.820553,201140,0.000651 
"13420","Bemidji, MN Micropolitan Statistical Area",-94.863079,47.591009,44442,0.000144 
"13460","Bend, OR Metropolitan Statistical Area",-121.305498,44.092071,157733,0.000511 
"13500","Bennettsville, SC Micropolitan Statistical Area",-79.670666,34.635884,28933,0.000094 
"13540","Bennington, VT Micropolitan Statistical Area",-73.153401,42.972541,37125,0.00012 
"13620","Berlin, NH-VT Micropolitan Statistical Area",-71.423328,44.568785,39361,0.000127 
"13660","Big Rapids, MI Micropolitan Statistical Area",-85.388851,43.653563,42798,0.000139 
"13700","Big Spring, TX Micropolitan Statistical Area",-101.464982,32.242066,35012,0.000113 
"13740","Billings, MT Metropolitan Statistical Area",-108.574062,45.761351,158050,0.000512 
"13780","Binghamton, NY Metropolitan Statistical Area",-76.007945,42.12124,251725,0.000815 
"13820","Birmingham-Hoover, AL Metropolitan Statistical Area",-86.784542,33.495986,1128047,0.003654 
"13860","Bishop, CA Micropolitan Statistical Area",-118.268979,37.160248,18546,0.00006 
"13900","Bismarck, ND Metropolitan Statistical Area",-100.824628,46.821998,108779,0.000352 
"13940","Blackfoot, ID Micropolitan Statistical Area",-112.355402,43.217372,45607,0.000148 
"13980","Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",-80.52218,37.173937,162958,0.000528 
"14020","Bloomington, IN Metropolitan Statistical Area",-86.645265,39.160949,192714,0.000624 
"14060","Bloomington-Normal, IL Metropolitan Statistical Area",-88.954967,40.494124,169572,0.000549 
"14100","Bloomsburg-Berwick, PA Micropolitan Statistical Area",-76.442003,41.029029,85562,0.000277 
"14140","Bluefield, WV-VA Micropolitan Statistical Area",-81.319507,37.26641,107342,0.000348 
"14180","Blytheville, AR Micropolitan Statistical Area",-89.998969,35.84288,46480,0.000151 
"14220","Bogalusa, LA Micropolitan Statistical Area",-89.996212,30.835918,47168,0.000153 
"14260","Boise City-Nampa, ID Metropolitan Statistical Area",-116.412399,43.617577,616561,0.001997 
"14300","Bonham, TX Micropolitan Statistical Area",-96.175902,33.561546,33915,0.00011 
"14340","Boone, IA Micropolitan Statistical Area",-93.895174,42.026495,26306,0.000085 
"14380","Boone, NC Micropolitan Statistical Area",-81.685488,36.220299,51079,0.000165 
"14420","Borger, TX Micropolitan Statistical Area",-101.44883,35.6807,22150,0.000072 
"14460","Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",-71.106145,42.430164,4552402,0.014745 
"14500","Boulder, CO Metropolitan Statistical Area",-105.183938,40.063299,294567,0.000954 
"14540","Bowling Green, KY Metropolitan Statistical Area",-86.41725,36.992254,125953,0.000408 
"14580","Bozeman, MT Micropolitan Statistical Area",-111.12835,45.682805,89513,0.00029 
"14620","Bradford, PA Micropolitan Statistical Area",-78.583113,41.865309,43450,0.000141 
"14660","Brainerd, MN Micropolitan Statistical Area",-94.239446,46.550891,91067,0.000295 
"14700","Branson, MO Micropolitan Statistical Area",-93.285369,36.680087,83877,0.000272 
"14740","Bremerton-Silverdale, WA Metropolitan Statistical Area",-122.632773,47.613056,251133,0.000813 
"14780","Brenham, TX Micropolitan Statistical Area",-96.396254,30.182709,33718,0.000109 
"14820","Brevard, NC Micropolitan Statistical Area",-82.745474,35.2102,33090,0.000107 
"14860","Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",-73.364439,41.207889,916829,0.00297 
"14940","Brigham City, UT Micropolitan Statistical Area",-112.099947,41.591027,49975,0.000162 
"15020","Brookhaven, MS Micropolitan Statistical Area",-90.456282,31.550891,34869,0.000113 
"15060","Brookings, OR Micropolitan Statistical Area",-124.328871,42.249909,22364,0.000072 
"15100","Brookings, SD Micropolitan Statistical Area",-96.786845,44.312257,31965,0.000104 
"15140","Brownsville, TN Micropolitan Statistical Area",-89.267289,35.586187,18787,0.000061 
"15180","Brownsville-Harlingen, TX Metropolitan Statistical Area",-97.557094,26.045736,406220,0.001316 
"15220","Brownwood, TX Micropolitan Statistical Area",-98.989458,31.731622,38106,0.000123 
"15260","Brunswick, GA Metropolitan Statistical Area",-81.555633,31.23975,112370,0.000364 
"15340","Bucyrus, OH Micropolitan Statistical Area",-82.874813,40.797377,43784,0.000142 
"15380","Buffalo-Niagara Falls, NY Metropolitan Statistical Area",-78.803923,42.936227,1135509,0.003678 
"15420","Burley, ID Micropolitan Statistical Area",-113.728034,42.543657,43021,0.000139 
"15460","Burlington, IA-IL Micropolitan Statistical Area",-91.111237,40.832805,47656,0.000154 
"15500","Burlington, NC Metropolitan Statistical Area",-79.414201,36.071263,151131,0.000489 
"15540","Burlington-South Burlington, VT Metropolitan Statistical Area",-73.119038,44.57247,211261,0.000684 
